A,Alfa,AL fah
B,Bravo,BRAH voh
C,Charlie,CHAR lee
D,Delta,DEL tah
E,Echo,EKK oh
F,Foxtrot,FOKS trot
G,Golf,Golf
H,Hotel,HO tell
I,India,IN dee ah
J,Juliett,JEW lee ett
K,Kilo,KEY loh
L,Lima,LEE mah
M,Mike,Mike
N,November,NOH vem ber
O,Oscar,OSS car
P,Papa,PAH pah
Q,Quebec,keh BECK
R,Romeo,ROW me oh
S,Sierra,see AIR ah
T,Tango,TANG go
U,Uniform,YOU nee form
V,Victor,VIK ter
W,Whiskey,WISS key
X,X-ray,EKS ray
Y,Yankee,YANG kee
Z,Zulu,ZOO luu
0,Zero,ZE-RO
1,One,Won 
2,Two,TOO
3,Three,TREE
4,Four,FOW-ER
5,Five,FIFE
6,Six,SIX
7,Seven,SEV-EN
8,Eight,AIT
9,Nine,NIN-ER
